                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                   1.33,                  7.462,                0.24576,                 1.0055,                 1.1928,                0.81321,                0.69616,                0.79572,                0.50941,                0.55657,                0.24479,                0.20084,                0.06361,                 1.1692,                 6.4529,                0.03692,                0.75743,                 1.0887,              0.0094885,              0.0094885,              0.0094885
                     33,                 1.3292,                  7.469,                0.24735,                 1.0102,                 1.1929,                0.81186,                0.69668,                0.79541,                0.50967,                0.55586,                0.24612,                0.20183,                 0.0639,                 1.1683,                 6.4495,                0.03701,                0.75672,                 1.0884,               0.009472,               0.009472,               0.009472
                     34,                 1.3322,                 7.4667,                0.24667,                 1.0059,                  1.194,                0.81111,                0.69588,                0.79538,                0.51001,                0.56102,                0.24583,                0.20195,                0.06406,                 1.1674,                 6.4466,                0.03702,                  0.756,                 1.0881,              0.0094555,              0.0094555,              0.0094555
                     35,                 1.3307,                 7.4691,                0.24464,                 1.0037,                 1.1905,                0.81037,                0.69645,                0.79474,                0.51038,                0.56224,                0.24669,                0.20277,                0.06418,                 1.1674,                  6.445,                0.03685,                0.75566,                 1.0885,               0.009439,               0.009439,               0.009439
                     36,                 1.3293,                 7.4678,                0.24574,                 1.0063,                 1.1918,                0.81029,                0.69606,                0.79521,                0.51023,                0.56452,                0.24745,                0.20367,                0.06435,                 1.1674,                 6.4412,                0.03673,                0.75607,                 1.0888,              0.0094225,              0.0094225,              0.0094225
                     37,                 1.3286,                 7.4418,                0.24441,                 1.0045,                 1.1905,                0.81207,                0.69549,                 0.7952,                0.51018,                0.56796,                0.24755,                0.20484,                0.06478,                 1.1677,                 6.4404,                0.03664,                0.75619,                 1.0888,               0.009406,               0.009406,               0.009406
                     38,                 1.3308,                 7.4686,                0.24554,                 1.0062,                 1.1915,                0.81064,                0.69563,                0.79517,                0.51032,                0.56837,                0.24783,                0.20496,                0.06468,                 1.1681,                 6.4393,                 0.0368,                 0.7562,                 1.0889,              0.0093895,              0.0093895,              0.0093895
                     39,                   1.33,                 7.4552,                0.24495,                 1.0033,                 1.1911,                0.80845,                0.69587,                0.79551,                0.51046,                 0.5674,                0.24736,                0.20517,                0.06455,                 1.1681,                 6.4382,                0.03693,                0.75633,                 1.0891,               0.009373,               0.009373,               0.009373
                     40,                 1.3275,                 7.4565,                  0.246,                      1,                 1.1909,                0.80515,                0.70007,                0.79577,                0.51085,                0.56744,                0.24802,                0.20471,                0.06471,                 1.1677,                 6.4342,                0.03708,                0.75595,                 1.0887,              0.0093565,              0.0093565,              0.0093565
                     41,                 1.3293,                 7.4508,                0.24534,                 1.0042,                 1.1918,                0.80515,                0.70188,                0.79598,                0.51092,                0.56313,                0.24869,                 0.2046,                0.06471,                 1.1671,                   6.43,                0.03713,                0.75524,                 1.0883,                0.00934,                0.00934,                0.00934
                     42,                  1.331,                 7.4443,                0.24399,                 1.0037,                 1.1907,                0.80896,                0.70102,                0.79702,                0.51107,                0.56568,                0.24955,                0.20594,                0.06518,                  1.167,                 6.4248,                0.03728,                0.75492,                 1.0884,              0.0093235,              0.0093235,              0.0093235
                     43,                  1.333,                 7.4611,                0.24452,                  1.007,                 1.1922,                0.80386,                0.70378,                0.79749,                0.51163,                0.56386,                0.24813,                0.20521,                0.06493,                 1.1673,                 6.4206,                0.03728,                0.75436,                 1.0882,               0.009307,               0.009307,               0.009307
                     44,                 1.3292,                 7.4481,                0.24348,                 1.0036,                 1.1898,                0.80361,                0.70464,                 0.7975,                0.51186,                0.56291,                 0.2486,                0.20517,                0.06485,                 1.1672,                 6.4186,                0.03734,                0.75456,                  1.088,              0.0092905,              0.0092905,              0.0092905
                     45,                 1.3256,                 7.4384,                0.24472,                 1.0027,                 1.1897,                0.80553,                0.70306,                0.79713,                0.51197,                0.56559,                0.24951,                0.20633,                0.06521,                 1.1667,                 6.4169,                0.03729,                 0.7544,                 1.0876,               0.009274,               0.009274,               0.009274
                     46,                 1.3286,                 7.4543,                0.24521,                 1.0059,                 1.1916,                0.80645,                 0.7034,                0.79723,                0.51149,                0.56434,                0.24955,                0.20686,                 0.0653,                 1.1666,                 6.4144,                 0.0373,                0.75441,                 1.0875,              0.0092575,              0.0092575,              0.0092575
                     47,                 1.3278,                 7.4402,                0.24356,                 1.0031,                 1.1905,                0.80496,                0.70482,                0.79696,                0.51132,                0.56617,                0.24774,                0.20452,                0.06526,                  1.166,                 6.4129,                0.03725,                0.75468,                 1.0874,               0.009241,               0.009241,               0.009241
                     48,                 1.3266,                 7.4364,                0.24443,                 1.0024,                 1.1895,                0.80446,                0.70454,                 0.7971,                0.51156,                0.56422,                 0.2485,                0.20545,                0.06537,                 1.1659,                   6.41,                0.03725,                0.75456,                 1.0874,              0.0092245,              0.0092245,              0.0092245
                     49,                  1.327,                 7.4434,                0.24424,                 1.0023,                 1.1898,                0.80426,                0.70445,                0.79721,                0.51134,                0.56643,                 0.2485,                0.20606,                0.06576,                 1.1659,                  6.408,                0.03707,                0.75422,                 1.0874,               0.009208,               0.009208,               0.009208
                     50,                 1.3284,                 7.4312,                0.24324,                0.99963,                 1.1894,                0.80528,                0.70469,                0.79782,                0.51168,                0.56409,                0.24831,                0.20659,                0.06595,                 1.1661,                 6.4082,                0.03681,                0.75375,                 1.0876,              0.0091915,              0.0091915,              0.0091915
                     51,                 1.3273,                 7.4302,                0.24428,                 1.0015,                 1.1901,                0.80863,                 0.7035,                0.79809,                0.51215,                0.55716,                0.24869,                0.20627,                0.06606,                 1.1658,                 6.4075,                0.03672,                0.75338,                 1.0872,               0.009175,               0.009175,               0.009175
                     52,                 1.3291,                  7.447,                0.24343,                 1.0023,                 1.1906,                0.80756,                0.70469,                0.79862,                0.51253,                0.56372,                0.24955,                0.20865,                0.06653,                 1.1654,                  6.405,                0.03658,                0.75333,                 1.0871,              0.0091585,              0.0091585,              0.0091585
                     53,                 1.3284,                 7.4279,                0.24314,                 1.0012,                 1.1901,                0.80464,                0.70613,                0.79865,                0.51234,                 0.5676,                0.24926,                0.20855,                 0.0669,                 1.1655,                 6.4022,                0.03655,                0.75344,                 1.0873,               0.009142,               0.009142,               0.009142
                     54,                 1.3243,                 7.4386,                0.24484,                 1.0033,                 1.1925,                0.80637,                0.70388,                0.79865,                0.51254,                0.56669,                0.25021,                0.20912,                0.06725,                 1.1657,                 6.4009,                0.03649,                0.75298,                 1.0876,              0.0091255,              0.0091255,              0.0091255
                     55,                 1.3284,                 7.4385,                 0.2436,                 1.0014,                 1.1894,                0.80904,                0.70292,                0.79855,                0.51244,                0.56542,                0.25119,                0.21022,                0.06734,                 1.1657,                 6.3995,                0.03634,                0.75295,                 1.0875,               0.009109,               0.009109,               0.009109
                     56,                 1.3242,                 7.4303,                0.24402,                 1.0001,                 1.1886,                0.81163,                 0.7013,                0.79843,                0.51226,                0.57002,                0.25136,                0.21087,                0.06765,                 1.1656,                 6.3967,                 0.0363,                 0.7532,                 1.0872,              0.0090925,              0.0090925,              0.0090925
                     57,                 1.3255,                 7.4313,                0.24324,                0.99896,                 1.1884,                0.81349,                0.70124,                0.79928,                0.51235,                0.56595,                0.25164,                0.21193,                0.06777,                 1.1654,                 6.3951,                0.03634,                0.75315,                 1.0871,               0.009076,               0.009076,               0.009076
                     58,                 1.3278,                 7.4273,                0.24362,                0.99957,                 1.1893,                 0.8158,                0.69969,                0.79882,                0.51261,                0.56589,                0.25205,                0.21159,                0.06797,                 1.1656,                 6.3933,                0.03641,                0.75276,                 1.0876,              0.0090595,              0.0090595,              0.0090595
                     59,                 1.3275,                 7.4227,                0.24302,                0.99874,                 1.1884,                0.81621,                0.70035,                0.79914,                0.51285,                0.56363,                0.25174,                 0.2106,                0.06779,                 1.1659,                 6.3921,                0.03632,                0.75256,                 1.0879,               0.009043,               0.009043,               0.009043
                     60,                 1.3232,                 7.4151,                0.24419,                 1.0001,                 1.1889,                0.81231,                0.70292,                 0.7988,                0.51311,                0.56533,                0.25088,                0.21117,                0.06785,                 1.1659,                 6.3917,                0.03624,                0.75313,                 1.0881,              0.0090265,              0.0090265,              0.0090265
                     61,                  1.324,                 7.4167,                0.24389,                0.99747,                 1.1893,                0.81367,                0.70167,                0.79892,                0.51329,                 0.5663,                 0.2525,                 0.2123,                0.06806,                  1.166,                 6.3912,                0.03611,                0.75275,                 1.0883,                0.00901,                0.00901,                0.00901
                     62,                 1.3224,                 7.4096,                0.24342,                0.99773,                 1.1888,                0.81156,                0.70178,                0.79875,                0.51305,                0.56877,                0.25317,                0.21333,                0.06781,                 1.1661,                 6.3904,                0.03602,                 0.7525,                 1.0885,              0.0089935,              0.0089935,              0.0089935
                     63,                 1.3263,                 7.4167,                 0.2432,                0.99894,                 1.1884,                0.81037,                0.70311,                 0.7992,                0.51327,                0.56778,                0.25262,                0.21323,                0.06771,                 1.1659,                 6.3898,                0.03603,                0.75268,                 1.0884,               0.008977,               0.008977,               0.008977
                     64,                 1.3235,                 7.4204,                 0.2436,                0.99686,                 1.1889,                0.81141,                 0.7034,                0.79906,                0.51413,                0.56742,                0.25202,                 0.2128,                0.06766,                 1.1659,                 6.3903,                0.03593,                0.75195,                 1.0884,              0.0089605,              0.0089605,              0.0089605
                     65,                 1.3225,                 7.4103,                0.24341,                0.99873,                 1.1874,                0.81262,                0.70262,                 0.7989,                0.51422,                0.56809,                0.25164,                0.21274,                0.06756,                 1.1659,                   6.39,                0.03578,                 0.7513,                 1.0883,               0.008944,               0.008944,               0.008944
